Platz,Jockey,Starts,Siege,Platz2,Platz3,Siegquote,Platzquote,Top3,Top3_Quote,Gewichtung
2,"E.Turganaaly Uulu",11,3,2,3,0.2700,0.7300,8,0.7273,0.11
3,"N.Baltromei",6,2,1,0,0.3300,0.5000,3,0.5000,0.06
4,"M.Musialova",5,2,0,2,0.4000,0.8000,4,0.8000,0.05
5,"S.Byrne",10,2,0,1,0.2000,0.3000,3,0.3000,0.10
6,"M.Abik",11,2,0,1,0.1800,0.2700,3,0.2727,0.11
7,"M.Seidl",7,1,3,0,0.1400,0.5700,4,0.5714,0.07
8,"M.Lopez",12,1,1,2,0.0800,0.3300,4,0.3333,0.12
9,"V.Csernak",12,1,1,1,0.0800,0.2500,3,0.2500,0.12
10,"A.Pietsch",9,1,1,0,0.1100,0.2200,2,0.2222,0.09
11,"K.Clijmans",11,1,0,1,0.0900,0.1800,2,0.1818,0.11
12,"M.Malacova",2,1,0,0,0.5000,0.5000,1,0.5000,0.02
13,"M.S.Johnson",6,1,0,0,0.1700,0.1700,1,0.1667,0.06
14,"A.Ricupa",10,0,3,2,0.0000,0.5000,5,0.5000,0.10
15,"J.Boysen",7,0,3,1,0.0000,0.5700,4,0.5714,0.07
16,"N.Polli",7,0,2,1,0.0000,0.4300,3,0.4286,0.07
17,"L.M.Engels",12,0,1,2,0.0000,0.2500,3,0.2500,0.12
18,"N.Wagner",7,0,1,1,0.0000,0.2900,2,0.2857,0.07
19,"M.Cadeddu",1,0,1,0,0.0000,1.0000,1,1.0000,0.01
20,"Y.Bakalova",2,0,1,0,0.0000,0.5000,1,0.5000,0.02
21,"J.Beckmann",4,0,0,1,0.0000,0.2500,1,0.2500,0.04
22,"B.Marie",5,0,0,1,0.0000,0.2000,1,0.2000,0.05
23,"P.Gibson",9,0,0,1,0.0000,0.1100,1,0.1111,0.09
24,"A.Schubert",1,0,0,0,0.0000,0.0000,0,0.0000,0.01
25,"B.Ganbat",1,0,0,0,0.0000,0.0000,0,0.0000,0.01
26,"I.Koyuncu",1,0,0,0,0.0000,0.0000,0,0.0000,0.01
27,"J.Höggemann",1,0,0,0,0.0000,0.0000,0,0.0000,0.01
28,"J.Laquai",1,0,0,0,0.0000,0.0000,0,0.0000,0.01
29,"J.Rogl",1,0,0,0,0.0000,0.0000,0,0.0000,0.01
30,"M.Kraeber",1,0,0,0,0.0000,0.0000,0,0.0000,0.01
31,"M.Potters",1,0,0,0,0.0000,0.0000,0,0.0000,0.01
32,"N.Ismail",1,0,0,0,0.0000,0.0000,0,0.0000,0.01
33,"S.Vogt",1,0,0,0,0.0000,0.0000,0,0.0000,0.01
34,"U.Timmermann",1,0,0,0,0.0000,0.0000,0,0.0000,0.01
35,"E.M.Palau Teruel",2,0,0,0,0.0000,0.0000,0,0.0000,0.02
36,"L.Bieß",2,0,0,0,0.0000,0.0000,0,0.0000,0.02
37,"P.Tepper",3,0,0,0,0.0000,0.0000,0,0.0000,0.03
38,"S.Schmidt",7,0,0,0,0.0000,0.0000,0,0.0000,0.07
39,"J.Bojko",8,0,0,0,0.0000,0.0000,0,0.0000,0.08